Codigo Arenisca Grano_medio Grano_fino Grano_muy_fino Lodolita Lodolita_negra Limolita Tallada Pulida Bloque Canto Largo Ancho Espesor Uso Descarte Manufactura Reciclado Abastecimiento
CO_147_2_29_B_F7_2 0 0 1 0 0 0 0 1 0 1 0 3.06 7.7 1.32 1 0 0 0 0
CO_147_2_29_B_F32_2 0 0 0 0 1 0 0 1 0 0 0 5.8 8.52 0.73 1 0 0 0 0
CO_147_2_29_B_B44 0 0 0 0 1 0 0 1 0 1 0 4.93 10.28 1.66 1 0 0 0 0
CO_147_2_29_B_B45 0 0 0 0 1 0 0 1 0 0 0 8.54 4.22 1.23 1 0 0 0 0
CO_147_2_29_B_B36_1 0 0 0 0 1 0 0 1 0 0 0 4.22 6.87 1.48 1 0 0 0 0
CO_147_2_29_B_B36_2 0 0 0 0 1 0 0 1 0 0 0 5.66 3.67 1.46 0 0 0 1 0
CO_147_2_29_B_C33 0 0 0 0 1 0 0 1 0 0 0 5.91 2.96 1.02 1 0 0 0 0
CO_147_2_29_B_C20 0 0 0 0 1 0 0 1 0 0 0 6.07 5.61 1.53 1 0 0 0 0
CO_147_2_29_B_C40_1 0 0 0 0 1 0 0 1 0 0 0 2.5 4.24 0.64 1 0 0 0 0
CO_147_2_29_B_C23 0 0 0 0 1 0 0 1 0 0 0 5.11 2.8 2.02 1 0 0 0 0
CO_147_2_29_B_C21_1 0 0 0 0 1 0 0 1 0 0 0 4.81 2.2 0.84 0 1 0 0 0
CO_147_2_29_B_C21_2 0 0 0 0 1 0 0 1 0 1 0 3.44 4.76 1.47 1 0 0 0 0
CO_147_2_29_B_C32_1 0 0 0 0 1 0 0 1 0 0 0 4.17 3.77 1.46 1 0 0 0 0
CO_147_2_29_B_C32_2 0 0 0 0 1 0 0 1 0 0 0 5.92 3.87 0.94 1 0 0 0 0
CO_147_2_29_B_C22_1 0 0 0 0 0 1 0 1 0 0 0 4.25 3.27 2.03 1 0 0 0 0
CO_147_2_29_B_C22_2 0 0 0 0 0 1 0 1 0 0 0 4.5 3.59 1.2 0 1 0 0 0
CO_147_2_29_B_C22_3 0 0 0 0 0 1 0 1 0 0 0 3.02 4.41 1.11 1 0 0 0 0
CO_147_2_29_B_C22_4 0 0 0 0 0 1 0 1 0 1 0 2.25 2.76 0.81 0 1 0 0 0
CO_147_2_29_B_E40 0 0 0 0 1 0 0 1 0 0 0 3.17 5.32 0.74 1 0 0 0 0
CO_147_2_29_B_E9 0 0 0 0 1 0 0 1 0 0 0 3.68 5.43 1.01 1 0 0 0 0
CO_147_2_29_B_E28 0 0 0 0 1 0 0 1 0 0 0 3.8 2.94 0.88 0 0 0 1 0
CO_147_2_29_B_E33_2 0 0 0 0 1 0 0 1 0 0 0 3.86 4.44 1.23 0 1 0 0 0
CO_147_2_29_B_E7_3 0 0 0 0 1 0 0 1 0 0 0 5.2 5.28 1.57 1 0 0 0 0
CO_147_2_29_B_E26_1 0 0 0 0 1 0 0 1 0 0 0 4.69 7.45 2.68 0 0 0 1 0
CO_147_2_29_B_E27_2 0 0 0 0 1 0 0 1 0 0 0 8.97 8.85 1.74 1 0 0 0 0
CO_147_2_29_B_E31_1 0 0 0 0 1 0 0 1 0 0 0 4.5 4.08 1.13 1 0 0 0 0
CO_147_2_29_B_E31_2 0 0 0 0 1 0 0 1 0 0 0 2.76 4.69 0.72 1 0 0 0 0
CO_147_2_29_B_E31_3 0 0 0 0 1 0 0 1 0 0 0 3.06 3.42 0.82 1 0 0 0 0
CO_147_2_29_B_E24_1 0 0 0 0 1 0 0 1 0 0 0 2.25 4.05 0.97 0 1 0 0 0
CO_147_2_29_B_E24_2 0 0 0 0 1 0 0 1 0 1 0 3.52 2.1 0.97 1 0 0 0 0
CO_147_2_29_B_D39_2 0 0 0 0 1 0 0 1 0 0 0 6.64 1.76 1.28 0 1 0 0 0
CO_147_2_29_B_D31_2 0 0 0 0 1 0 0 1 0 0 0 4.96 7.8 1.41 1 0 0 0 0
CO_147_2_29_B_D42_1 0 0 0 0 1 0 0 1 0 1 0 7.16 4.97 1.62 1 0 0 0 0
CO_147_2_29_B_D42_2 0 0 0 0 1 0 0 1 0 0 0 7.68 3.5 0.87 1 0 0 0 0
CO_147_2_29_B_C40_2 0 0 0 0 1 0 0 1 0 0 0 12.1 10.32 1.76 1 0 0 0 0
CO_147_2_29_B_C48_1 0 0 0 0 1 0 0 1 0 0 0 6.17 4.93 1.75 1 0 0 0 0
CO_147_2_29_B_B7_1 0 0 0 0 1 0 0 1 0 0 0 5.2 3.47 1.07 1 0 0 0 0
CO_147_2_29_B_B45_2 0 0 0 0 1 0 0 1 0 0 0 2.62 5.1 1.54 1 0 0 0 0
CO_147_2_29_B_A20_1 0 0 0 0 1 0 0 1 0 0 0 4.83 3.44 1.5 1 0 0 0 0
CO_147_2_29_B_A20_2 0 0 0 0 1 0 0 1 0 1 0 4.15 3.62 1.32 0 1 0 0 0
CO_147_2_29_B_E30 0 0 0 0 1 0 0 1 0 0 0 3.8 2.45 0.49 1 0 0 0 0
CO_147_2_29_B_C8 0 0 0 0 1 0 0 1 0 0 0 4.97 4.95 3.41 1 0 0 0 0
CO_147_2_29_B_A8_3 0 0 0 1 0 0 0 1 0 0 0 3 2.8 1.22 1 0 0 0 0
CO_147_2_29_B_A8_4 0 0 0 1 0 0 0 1 0 0 0 6.07 2.63 1.13 0 1 0 0 0
CO_147_2_29_B_F8_2 0 0 0 1 0 0 0 1 0 0 0 8.91 4.81 2.37 1 0 0 0 0
CO_147_2_29_B_F12_1 0 0 0 0 1 0 0 1 0 0 0 8.8 6.27 1.67 1 0 0 0 0
CO_147_2_29_B_B6_1 0 0 0 0 1 0 0 1 0 1 0 4.36 3.79 0.78 1 0 0 0 0
CO_147_2_29_B_B6_2 0 0 0 0 1 0 0 1 0 0 0 4.76 4.94 0.64 1 0 0 0 0
CO_147_2_29_B_B6_3 0 0 0 0 1 0 0 1 0 0 0 2.85 2.05 1.02 0 1 0 0 0
CO_147_2_29_B_B6_4 0 0 0 0 1 0 0 1 0 0 0 4.43 5.61 1.17 1 0 0 0 0
CO_147_2_29_B_I14 0 0 0 0 1 0 0 1 0 1 0 5.77 5.53 1.8 1 0 0 0 0
CO_147_2_29_B_I11 0 0 0 0 1 0 0 1 0 0 0 10.36 7.85 1.27 0 0 1 0 0
CO_147_2_29_B_I12_1 0 0 0 0 1 0 0 1 0 0 0 5.06 4.3 1.47 1 0 0 0 0
CO_147_2_29_B_I12_2 0 0 0 1 0 0 0 1 0 0 0 5.93 7.37 2.24 1 0 0 0 0
CO_147_2_29_B_I10 0 0 1 0 0 0 0 1 0 1 0 3.05 3.41 0.83 1 0 0 0 0
CO_147_2_29_B_E6 0 0 0 0 1 0 0 1 0 0 0 5.09 4.62 1.27 1 0 0 0 0
CO_147_2_29_B_E8 0 0 1 0 0 0 0 1 0 1 0 4.78 1.65 0.91 1 0 0 0 0
CO_147_2_29_B_A9_1 0 0 1 0 0 0 0 1 0 0 0 3.35 3.49 1.54 1 0 0 0 0
CO_147_2_29_B_A9_2 0 0 1 0 0 0 0 1 0 0 0 4.89 4.42 2.27 0 1 0 0 0
CO_147_2_29_B_A8_1 0 0 0 0 1 0 0 1 0 0 0 3.45 4.23 1.14 1 0 0 0 0
CO_147_2_29_B_A10_2 0 0 0 1 0 0 0 1 0 0 0 4.34 5.14 0.82 1 0 0 0 0
CO_147_2_29_B_F12_2 0 0 0 0 1 0 0 1 0 0 0 3.77 2.76 1.47 0 1 0 0 0
CO_147_2_29_B_I34 0 0 1 0 0 0 0 1 0 0 0 6.61 4.31 2.11 1 0 0 0 0
CO_147_2_29_B_B10_5 1 0 0 0 0 0 0 1 0 0 0 6.41 3.32 0.85 1 0 0 0 0
CO_147_2_29_B_B10_3 1 0 0 0 0 0 0 1 0 0 0 3.27 3.02 1.16 1 0 0 0 0
CO_147_2_29_B_A9_3 0 0 1 0 0 0 0 1 0 1 0 2.53 3.59 0.81 1 0 0 0 0
CO_147_2_29_B_A9_4 0 0 1 0 0 0 0 1 0 0 0 5.44 3.86 1.7 0 1 0 0 0
CO_147_2_29_B_A10_6 0 0 1 0 0 0 0 1 0 0 0 6.52 2.29 1.06 1 0 0 0 0
CO_147_2_29_B_B9_7 1 0 0 0 0 0 0 1 0 0 0 4.41 4.11 0.56 1 0 0 0 0
CO_147_2_29_B_B10_4 1 0 0 0 0 0 0 1 0 0 0 2.31 2.5 0.28 1 0 0 0 0
CO_147_2_29_B_B10_2 1 0 0 0 0 0 0 1 0 0 0 5.07 3.1 1.47 1 0 0 0 0
CO_147_2_29_B_B10_6 1 0 0 0 0 0 0 1 0 0 0 5.24 7.73 1.92 0 1 0 0 0
CO_147_2_29_B_H29 0 0 0 0 1 0 0 1 0 0 0 8.41 8.74 2.52 1 0 0 0 0
CO_147_2_29_B_C10_2 0 0 0 0 1 0 0 1 0 0 0 4.65 4.69 0.86 1 0 0 0 0
CO_147_2_29_B_C34 0 0 0 0 0 0 1 1 0 0 0 2.87 3.14 0.76 0 1 0 0 0
CO_147_2_29_B_I36 0 0 1 0 0 0 0 1 0 1 0 6.31 8.5 1.68 1 0 0 0 0
CO_147_2_29_B_I31 0 0 0 0 1 0 0 1 0 0 0 4.87 8.67 1.85 1 0 0 0 0
CO_147_2_29_B_A8_2 0 0 0 1 0 0 0 1 0 0 0 4.37 2.93 1.81 1 0 0 0 0
